date,equity,cash,positions,drawdown,returns
2024-05-10,995841.2442699998,879202.9542699998,6,-0.054095827359517186,0.00041698723109639957
2024-05-13,995737.2824699997,842478.0592699997,6,-0.054194575931120426,-0.00010439595728561901
2024-05-14,995540.0624699998,838525.0624699998,6,-0.054381906212931444,-0.0001980642921300957
2024-05-15,993215.8656699997,838525.0624699998,5,-0.05658955473503024,-0.0023346090103431028
2024-05-16,992545.8576699997,834259.8576699997,6,-0.0572259647718199,-0.00067458447167279
2024-05-17,995791.8576699997,834259.8576699997,6,-0.05414273743808784,0.0032703778620566393
2024-05-20,1000454.9712699997,834259.8576699997,6,-0.04971345853734298,0.004682819571261598
2024-05-21,998158.2555199998,819415.5212699997,6,-0.051895004063594624,-0.0022956712855196626
2024-05-22,995720.8549199997,833005.5525199998,6,-0.054210179711522866,-0.002441897952074057
2024-05-23,993284.6559199998,833514.6309199998,5,-0.056524214014421946,-0.002446668650116446
2024-05-24,989977.6559199998,856562.6559199998,5,-0.05966538246563942,-0.0033293577830787457
2024-05-27,990828.1559199998,856562.6559199998,5,-0.05885753131119114,0.0008591102990194166
2024-05-28,991462.6559199998,856562.6559199998,5,-0.05825484870390433,0.0006403734050237642
2024-05-29,991154.6121699999,817596.0146699998,5,-0.058547445410615725,-0.0003106962709695793
2024-05-30,989587.7141699998,822055.9961699998,5,-0.060035770346774146,-0.0015808815100698537
2024-05-31,991894.8901699998,843440.3901699998,5,-0.05784428910619173,0.0023314517419359415
2024-06-03,992786.0951699998,843440.3901699998,5,-0.05699777412900178,0.0008984873385597947
2024-06-04,992447.8951699998,850194.3451699998,5,-0.05731901488201104,-0.0003406574705723253
2024-06-05,992795.9951699998,850194.3451699998,5,-0.0569883705705902,0.00035074889240438445
2024-06-06,988172.5479199998,850194.3451699998,3,-0.061379972214850274,-0.004656996273648573
2024-06-07,988789.5479199998,896495.5479199998,3,-0.06079391205930108,0.0006243848822746756
2024-06-11,989458.5479199998,896495.5479199998,3,-0.060158459475731535,0.0006765848217220594
2024-06-12,990433.5479199998,896495.5479199998,3,-0.05923235145034991,0.0009853874142071728
2024-06-13,989195.5479199998,896495.5479199998,3,-0.060408271178988324,-0.0012499576600569773
2024-06-14,989158.5479199998,896495.5479199998,3,-0.06044341579123358,-3.7404131142504404e-05
2024-06-17,988711.9279199998,874590.6749199998,3,-0.06086763975666531,-0.0004515150790933564
2024-06-18,989269.30392,913394.6239199999,3,-0.0603382137189676,0.0005637395324771255
2024-06-19,988331.65692,919353.65692,3,-0.06122884183350607,-0.0009478177441517577
2024-06-20,987377.65692,919353.65692,3,-0.06213500291680255,-0.0009652630200807089
2024-06-21,987267.65692,919353.65692,3,-0.0622394868991533,-0.00011140620737071227
2024-06-24,984625.65692,919353.65692,3,-0.06474900218434125,-0.002676072675410368
2024-06-25,983421.65692,919353.65692,3,-0.06589262686388943,-0.001222799742763403
2024-06-26,985579.65692,919353.65692,3,-0.06384284110104477,0.0021943791707401683
2024-06-27,983738.65692,919353.65692,3,-0.06559152302384227,-0.0018679362820386292
2024-06-28,985876.65692,919353.65692,3,-0.06356073434869774,0.00217334145096415
2024-07-01,986615.73792,897402.73792,5,-0.06285871501997253,0.0007496688300836496
2024-07-02,985214.22292,864720.10292,5,-0.06418995018837535,-0.0014205277152326001
2024-07-03,983860.77792,870878.49292,4,-0.06547552585649083,-0.0013737570657359477
2024-07-04,980354.66392,901349.77792,3,-0.0688058236137246,-0.0035636281867160724
2024-07-05,980337.66392,919365.66392,3,-0.06882197113826971,-1.7340663155507308e-05
2024-07-08,979617.66392,919365.66392,3,-0.0695058662954746,-0.0007344408222784704
2024-07-09,982393.66392,919365.66392,3,-0.06686907052269574,0.0028337586205742227
2024-07-10,983971.66392,919365.66392,3,-0.06537020030315502,0.0016062807181627115
2024-07-11,985623.66992,892334.66992,5,-0.06380103515999744,0.0016789162336430241
2024-07-12,984337.87692,865504.87692,5,-0.06502235127925854,-0.0013045476070033812
2024-07-15,982208.87692,865504.87692,5,-0.067044591264938,-0.0021628752178689536
2024-07-16,984541.87692,865504.87692,5,-0.06482858098471715,0.002375258516615908
2024-07-17,979431.6444199999,865504.87692,4,-0.06968255773324643,-0.0051904673836593584
2024-07-18,983750.1104199999,864239.69442,5,-0.06558064386664365,0.004409155069272197
2024-07-19,985694.67902,877604.86642,5,-0.06373358685498702,0.0019766895875314994
2024-07-22,986014.80766,883042.65902,4,-0.06342951126251675,0.00032477464555080715
2024-07-23,982994.80766,895278.80766,4,-0.06629807150523727,-0.0030628343271710268
2024-07-24,981951.80766,895278.80766,4,-0.06728876962879936,-0.0010610432444529971
2024-07-25,982474.80766,895278.80766,4,-0.0667919957854408,0.000532612696387158
2024-07-26,983409.80766,895278.80766,4,-0.06590388193545946,0.0009516783460605804
2024-07-29,984846.7061600001,886989.5316600001,3,-0.06453903759442475,0.0014611390783452194
2024-07-30,984250.55616,928648.55616,3,-0.06510529328604658,-0.0006053226317063176
2024-07-31,987117.46816,901523.46816,5,-0.062382144351417965,0.0029127867716784994
2024-08-01,986601.90916,862915.90916,5,-0.06287185032829769,-0.0005222873838520714
2024-08-02,984208.9691600001,862915.90916,4,-0.06514479488035581,-0.002425436214731569
2024-08-05,980099.9691600001,889495.9691600001,4,-0.06904774654834872,-0.004174926391401379
2024-08-06,983387.1891600001,889495.9691600001,3,-0.06592536621686672,0.003353963986773012
2024-08-07,982310.1891600001,899860.1891600001,3,-0.06694835938951903,-0.0010951942549912719
2024-08-08,979971.1891600001,899860.1891600001,3,-0.06917006879604992,-0.002381121590523394
2024-08-09,979445.1891600001,899860.1891600001,3,-0.0696696922025635,-0.0005367504737061601
2024-08-12,978820.1891600001,899860.1891600001,3,-0.07026335119319274,-0.0006381163610962304
2024-08-13,979240.1891600001,899860.1891600001,3,-0.0698644123514899,0.0004290880027315591
2024-08-14,977819.7051600001,887522.8691600001,3,-0.07121366530772183,-0.0014505981430545933
2024-08-15,978063.7051600001,904565.7051600001,3,-0.07098190083778017,0.00024953475442601736
2024-08-16,976972.4299100001,852644.8561600001,5,-0.07201845341924212,-0.0011157506860164368
2024-08-19,977068.5989100002,868365.5989100002,5,-0.07192710687289029,9.8435735805813e-05
2024-08-20,974942.5989100002,868365.5989100002,5,-0.07394649729541475,-0.0021758963519774577
2024-08-21,973239.5989100002,868365.5989100002,5,-0.07556409931308132,-0.001746769504075374
2024-08-22,970425.5989100002,868365.5989100002,5,-0.07823698955249044,-0.0028913743369582967
2024-08-23,970682.5989100002,868365.5989100002,5,-0.07799287697554369,0.00026483225534112975
2024-08-26,971788.5989100002,868365.5989100002,5,-0.07694233802572617,0.0011394043750676541
2024-08-27,969613.5989100002,868365.5989100002,5,-0.07900827131311595,-0.002238141096159829
2024-08-28,971100.5989100002,868365.5989100002,5,-0.07759583784261086,0.0015336006030357563
2024-08-29,972853.5989100002,868365.5989100002,5,-0.07593074310569393,0.0018051682822228798
2024-08-30,976504.5989100002,868365.5989100002,5,-0.07246282474603413,0.0037528771071932976
2024-09-02,974692.5989100002,868365.5989100002,5,-0.07418396089166644,-0.0018555980197354494
2024-09-03,976021.1949100002,868365.5989100002,4,-0.07292198815516393,0.001363092324170534
2024-09-04,975523.2496600002,885628.9019100002,3,-0.07339496363436973,-0.0005101787262374868
